"","sp","mating.system","weights_poly","M_mass","F_mass","dnnuc","dsnuc","dndsnuc","sprich"
"1","Phaethornis","poly",0.0179640718562874,275.516666666667,317.55,0.0588241561047736,0.1488225288319,0.395263785439484,334
"2","Vanellus","poly",0.130434782608696,136.7,130.65,0.0172308831234971,0.0372044442918819,0.463140451401848,23
"3","Pedionomus","poly",1,54,72.4,0.0211989672719384,0.0645805869341964,0.328256032939726,1
"4","Calidris","poly",0.708333333333333,60.4470588235294,56.1529411764706,0.012511076684908,0.0388081848812016,0.322382423275052,24
"5","Scolopax","poly",0.115384615384615,115.166666666667,137.333333333333,0.0233519077880672,0.0590911130836491,0.3951847675472,26
"6","Buteo","poly",0.107142857142857,554.416666666667,677.7,0.0084512188115981,0.0196336933443339,0.430444678104186,56
"7","Myiobius","poly",0.2,12,NA,0.026459279019897,0.0465937970068618,0.567871277286124,5
"8","Mionectes","poly",0.029126213592233,8,NA,0.00372185681872856,0.0587627365729793,0.063337023355035,103
"9","Ptilonorhynchus","poly",0.375,NA,NA,0.0051788884836206,0.0355853511706916,0.145534280630789,16
"10","Lichenostomus","poly",0.6,24.0083333333333,21.025,0.00931848063728578,0.0150837313936509,0.61778351749277,20
"11","Loboparadisea","poly",0.666666666666667,NA,NA,0.0278748051214964,0.0602003810981524,0.463033698674574,3
"12","Hirundo","poly",0.121212121212121,18.8,19.4,0.00432105965001947,0.0141337172294641,0.30572704829636,33
"13","Sturnus","poly",0.125,81.15,72.6,0.00627476872930858,0.0148197615900836,0.423405511024363,16
"14","Calcarius","poly",1,24.525,23.075,0.00557622335232964,0.0113416503687268,0.491658900692741,4
"15","Passerina","poly",0.166666666666667,20.0333333333333,18.0666666666667,0.0147769217469648,0.029487241189286,0.501129341063412,18
"16","Apus","mono",0.0186915887850467,39,40.3,0.0822334195847303,0.178261452782806,0.461307917673731,107
"17","Charadrius","mono",0.375,68.3454545454545,66.1545454545455,0.00409177238233134,0.0125773753950865,0.32532799998399,32
"18","Attagis","mono",0.5,222.5,125,0.0261241617766068,0.0597253900925454,0.437404623663856,4
"19","Arenaria","mono",0.5,108,113,0.0125263880189672,0.0263460221055054,0.475456521246508,2
"20","Limnodromus","mono",0.666666666666667,105.5,112.5,0.00876326295018112,0.0267079371623626,0.328114556242498,3
"21","Haliaeetus","mono",0.285714285714286,1182.5,1467.25,0.00275846768512556,0.0180508296398368,0.152816670489086,14
"22","Onychorhynchus","mono",0.25,18.6,15.1,0.0162832818790219,0.0405735638259848,0.401327375353542,4
"23","Colonia","mono",0.115755627009646,25.3478260869565,25.1222222222222,0.0165610940613008,0.0580070471606057,0.285501415292656,311
"24","Ailuroedus","mono",0.666666666666667,NA,NA,0.0171210662405358,0.0291482529461577,0.587378813823306,3
"25","Manorina","mono",0.4,50.3,45.1666666666667,0.00232442673897605,0.0025043876338277,0.92814175712224,15
"26","Melanocharis","mono",0.6,NA,NA,0.0212676240394812,0.0640778391680504,0.331902952964827,10
"27","Petrochelidon","mono",0.333333333333333,972.99,799.78,0.00277303357151679,0.0204202847472277,0.135797987434689,3
"28","Acridotheres","mono",0.142857142857143,NA,NA,0.00365936547549672,0.0182996327613263,0.199969339452007,7
"29","Plectrophenax","mono",0.5,38.7,36,0.00740157912118493,0.0289846540675645,0.255361996176719,2
"30","Pheucticus","mono",0.333333333333333,44.85,46.9,0.0231280608917761,0.0793212894147383,0.291574444419946,6
